SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3
91-49,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,6666.7
91-50,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
92-4,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,6666.7
92-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
92-11,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,6666.7
92-17,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3
73-5,Acantharia,Radiozoa,(null),(null),3333.3
52-85,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,300000
92-24,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
92-31,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
92-34,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3
92-34,Chaetoceros curvatus,Centric diatom,Chaetoceros,curvatus,3333.3
92-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000
92-39,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
93-7,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,70000
53-73,Corethron spp.,Centric diatom,Corethron,spp.,6666.7
90-23,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
91-5,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
91-8,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000
91-11,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,10000
91-18,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
91-20,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,53333.3
52-25,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,80000
91-31,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,10000
91-35,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
91-37,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
91-38,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,60000
91-42,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
86-3,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,46666.7
86-4,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
86-9,Chaetoceros pendulus,Centric diatom,Chaetoceros,pendulus,3333.3
86-66,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
86-71,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
86-72,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,23333.3
86-73,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
86-75,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
87-17,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3
87-18,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
87-35,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,23333.3
87-80,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
87-83,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
176-65,Actinopoda,Radiozoa,(null),(null),6666.7
187-13,Cylindrial diatom,Centric diatom,(null),(null),3333.3
129-17,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,3333.3
129-1,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,10000
127-5,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
176-17,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7
194-21,Dactyliosolen spp.,Centric diatom,Dactyliosolen,spp.,3333.3
209-62,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
220-31,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,6666.7
213-89,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,3333.3
220-67,Coscinodiscus spp. 60-80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
220-69,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
220-69,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,3333.3
270-25,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
270-69,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
93-9,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,40000
93-17,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
93-18,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,10000
93-22,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
93-33,Proboscia inermis,Centric diatom,Proboscia,inermis,20000
93-34,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
93-35,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,6666.7
93-36,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
93-38,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,10000
93-38,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
93-39,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,23333.3
93-40,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3
93-41,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,13333.3
93-48,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
93-52,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
94-4,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
94-7,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
94-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,13333.3
94-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
94-20,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
61-13,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,666.7
108-77,Plastic,Other,(null),(null),673.3
129-29,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
178-17,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
178-73,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,10000
215-11,Nematocysts,Other,(null),(null),3333.3
215-82,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
215-89,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
216-92,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
219-27,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,3333.3
219-31,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
219-63,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
219-64,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,3333.3
209-10,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,3333.3
209-16,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,6666.7
209-23,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000
220-15,Chaetoceros bulbosus,Centric diatom,Chaetoceros,bulbosus,3333.3
220-51,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,10000
220-51,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3
220-54,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
220-56,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,10000
220-56,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,33333.3
220-59,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,3333.3
220-60,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
220-64,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
244-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
239-25,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
244-5,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,10000
244-33,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,6666.7
270-29,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
54-17,Lauderia spp.,Centric diatom,Lauderia,spp.,3333.3
268-77,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
271-41,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7
271-77,Tripos spp.,Dinoflagellate,Tripos,spp.,6666.7
240-5,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
240-9,Epiplocylis spp.,Ciliate,Epiplocylis,spp.,3333.3
240-9,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,10000
240-37,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
178-65,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,13333.3
178-65,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,23333.3
209-51,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
209-57,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
220-33,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,23333.3
220-33,Rhizosolenia simplex,Centric diatom,Rhizosolenia,simplex,3333.3
220-35,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,23333.3
213-33,Proboscia spp.,Centric diatom,Proboscia,spp.,20000
221-29,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3
221-33,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,3333.3
65-9,Actinopoda,Radiozoa,(null),(null),666.7
297-33,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
297-5,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
297-65,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,13333.3
271-33,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
51-49,Tripos candelabrus,Dinoflagellate,Tripos (Ceratium),candelabrus,666.7
51-81,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
68-5,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,80000
68-37,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,13333.3
68-49,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
66-65,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3
66-29,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,10000
66-77,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,53333.3
66-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,666.7
66-37,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
61-9,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
61-9,Filamentous algae (non branching),Cyanobacteria,(null),(null),3333.3
63-13,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,11400
66-41,Skeletonema spp.,Centric diatom,Skeletonema,spp.,3333.3
82-5,Tripos spp.,Dinoflagellate,Tripos,spp.,6666.7
82-17,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
82-33,Ditylum spp.,Centric diatom,Ditylum,spp.,3333.3
82-33,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,3333.3
82-89,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,6666.7
65-1,Pennate diatom > 10 µm,Pennate diatom,(null),(null),3333.3
65-13,Dactyliosolen spp.,Centric diatom,Dactyliosolen,spp.,46666.7
65-13,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,33333.3
82-1,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,666.7
81-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
65-17,Ciliate (Inc. tintinnid),Ciliate,(null),(null),10000
81-65,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
65-29,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3333.3
81-85,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
64-29,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
64-29,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
65-41,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
65-45,Foraminifera,Foraminifera,(null),(null),6666.7
68-9,Foraminifera,Foraminifera,(null),(null),666.7
66-49,Guinardia spp.,Centric diatom,Guinardia,spp.,13333.3
66-9,Peridinium spp.,Dinoflagellate,Peridinium,spp.,666.7
66-61,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3333.3
66-9,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
66-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,10000
66-61,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,80000
67-45,Tripos spp.,Dinoflagellate,Tripos,spp.,6666.7
66-53,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
67-21,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,13333.3
67-33,Tripos furca type,Dinoflagellate,Tripos (Ceratium),furca type,3333.3
116-25,Cyttarocylis spp.,Ciliate,Cyttarocylis,spp.,666.7
157-55,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
158-26,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,3333.3
158-31,Navicula cristata,Pennate diatom,Navicula,cristata,3333.3
158-34,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
158-35,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,20000
158-39,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
158-41,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,13333.3
158-44,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
158-44,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,13333.3
158-85,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
159-2,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,3333.3
159-6,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
158-52,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
158-52,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7
158-54,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
158-56,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
158-61,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
158-66,Guinardia cf. tubiformis,Centric diatom,Guinardia,cf. tubiformis,3333.3
158-67,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,30000
158-68,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,13333.3
158-69,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000
158-70,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
158-72,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
158-77,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
158-78,Navicula cristata,Pennate diatom,Navicula,cristata,3333.3
158-82,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,46666.7
158-82,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,3333.3
155-31,Navicula cristata,Pennate diatom,Navicula,cristata,3333.3
156-16,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
156-20,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,46666.7
156-20,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
156-27,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7
156-28,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,13333.3
156-28,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000
157-1,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,23333.3
157-2,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,6666.7
157-4,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000
157-4,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000
100-73,Plastic,Other,(null),(null),666.7
119-5,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
119-9,Plastic,Other,(null),(null),666.7
156-5,Chaetoceros curvatus,Centric diatom,Chaetoceros,curvatus,3333.3
156-5,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,80000
156-6,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3
156-7,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
156-7,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,20000
156-10,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,33333.3
158-5,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
158-10,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,3333.3
158-16,Corethron pennatum,Centric diatom,Corethron,pennatum,10000
158-21,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,6666.7
157-9,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,13333.3
157-10,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,20000
157-13,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3
157-12,Coccolithophore cf.,Coccolithophore,(null),(null),13333.3
157-15,Proboscia alata,Centric diatom,Proboscia,alata,3333.3
157-16,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,10000
157-16,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,3333.3
157-16,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000
157-20,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,46666.7
157-24,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
157-34,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
114-33,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3333.3
113-25,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
120-17,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3
119-17,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,6666.7
113-17,Plastic,Other,(null),(null),666.7
155-5,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,13333.3
155-7,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
155-9,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
155-10,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
155-11,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
155-11,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
155-12,Chaetoceros curvatus,Centric diatom,Chaetoceros,curvatus,3333.3
155-12,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,13333.3
155-16,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,13333.3
155-19,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,3333.3
155-20,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,3333.3
155-27,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
155-28,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,3333.3
155-35,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
155-37,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,46666.7
155-39,Navicula cristata,Pennate diatom,Navicula,cristata,3333.3
155-39,Radiolarian,Radiozoa,(null),(null),3333.3
155-41,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,30000
155-42,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,40000
156-1,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
157-37,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,23333.3
157-38,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
157-40,Guinardia cf. tubiformis,Centric diatom,Guinardia,cf. tubiformis,3333.3
157-44,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3
157-45,Proboscia alata,Centric diatom,Proboscia,alata,3333.3
157-45,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3
157-49,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,13333.3
157-50,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
157-54,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,20000
159-49,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
159-39,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
159-51,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,6666.7
159-52,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,23333.3
159-55,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,20000
159-56,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000
159-62,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
159-64,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
159-71,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
159-73,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
159-73,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7
160-7,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
160-84,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000
161-45,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,10000
161-45,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
161-45,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
161-46,Proboscia alata,Centric diatom,Proboscia,alata,3333.3
163-29,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
163-65,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
165-3,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,20000
165-44,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
165-69,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3
165-72,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
167-53,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
167-54,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,3333.3
167-58,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),6666.7
166-32,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
166-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000
166-51,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
164-73,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
169-53,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
169-45,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
169-49,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
169-61,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,20000
166-2,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
166-10,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3
135-41,Proboscia spp.,Centric diatom,Proboscia,spp.,3333.3
89-5,Foraminifera,Foraminifera,(null),(null),666.7
89-23,Foraminifera,Foraminifera,(null),(null),666.7
91-37,Foraminifera,Foraminifera,(null),(null),666.7
93-17,Foraminifera,Foraminifera,(null),(null),666.7
159-12,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
159-31,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
159-40,Navicula cristata,Pennate diatom,Navicula,cristata,3333.3
159-41,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
159-43,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7
159-47,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7
167-5,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
159-48,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,20000
159-48,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,13333.3
164-48,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
164-54,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000
164-68,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7
